Threshold 10,Threshold 20,Threshold 30,F2 10,F2 20,F2 30,Precision 10,Precision 20,Precision 30,Recall 10,Recall 20,Recall 30,FN 10,FN 20,FN 30,FP 10,FP 20,FP 30,Weighted F2,Mean precision,Mean recall,Total false negatives,Total false positives
0.27,0.26,0.25,0.9324942791762013,0.9397590361445785,0.9341782502044155,0.7616822429906542,0.78,0.7798634812286689,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,129,0.9350105004723573,0.7738485747397744,0.9870502257599032,13,268
0.28,0.26,0.25,0.9324942791762013,0.9397590361445785,0.9341782502044155,0.7616822429906542,0.78,0.7798634812286689,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,129,0.9350105004723573,0.7738485747397744,0.9870502257599032,13,268
0.3,0.27,0.18,0.933179723502304,0.9401451027811366,0.9318273497377975,0.7788461538461539,0.7893401015228426,0.7463651050080775,0.9818181818181818,0.9873015873015873,0.9935483870967742,3,4,3,46,83,157,0.9349988625330525,0.7715171201256913,0.9875560520721812,10,286
0.28,0.28,0.18,0.9324942791762013,0.9412832929782083,0.9318273497377975,0.7616822429906542,0.7933673469387755,0.7463651050080775,0.9878787878787879,0.9873015873015873,0.9935483870967742,2,4,3,51,81,157,0.9349975974291227,0.7671382316458356,0.9895762540923831,9,289
0.3,0.28,0.16,0.933179723502304,0.9412832929782083,0.9300924065889916,0.7788461538461539,0.7933673469387755,0.7360890302066773,0.9818181818181818,0.9873015873015873,0.9956989247311828,3,4,2,46,81,166,0.9349933309624128,0.7694341769972022,0.9882728979503174,9,293
0.29,0.28,0.26,0.9310344827586207,0.9412832929782083,0.9353254195661074,0.7714285714285715,0.7933673469387755,0.7838765008576329,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,81,126,0.9349673131859944,0.7828908064083265,0.9839718226815002,15,255
0.3,0.28,0.2,0.933179723502304,0.9412832929782083,0.9299027552674232,0.7788461538461539,0.7933673469387755,0.7549342105263158,0.9818181818181818,0.9873015873015873,0.9870967741935484,3,4,6,46,81,149,0.9349554006980991,0.775715903770415,0.9854055144377725,13,276
0.3,0.26,0.21,0.933179723502304,0.9397590361445785,0.9321689683184401,0.7788461538461539,0.78,0.7624584717607974,0.9818181818181818,0.9904761904761905,0.9870967741935484,3,3,6,46,88,143,0.9349513662582136,0.7737682085356505,0.9864637154959736,12,277
0.3,0.27,0.17,0.933179723502304,0.9401451027811366,0.9315895372233401,0.7788461538461539,0.7893401015228426,0.7408,0.9818181818181818,0.9873015873015873,0.9956989247311828,3,4,2,46,83,162,0.934951300030161,0.7696620851229988,0.9882728979503174,9,291
0.28,0.28,0.17,0.9324942791762013,0.9412832929782083,0.9315895372233401,0.7616822429906542,0.7933673469387755,0.7408,0.9878787878787879,0.9873015873015873,0.9956989247311828,2,4,2,51,81,162,0.9349500349262312,0.7652831966431433,0.9902930999705193,8,294
0.3,0.26,0.19,0.933179723502304,0.9397590361445785,0.9320663162151235,0.7788461538461539,0.78,0.7520391517128875,0.9818181818181818,0.9904761904761905,0.9913978494623656,3,3,4,46,88,152,0.9349308358375503,0.7702951018530139,0.9878974072522461,10,286
0.29,0.29,0.29,0.9310344827586207,0.9424242424242424,0.9333881578947368,0.7714285714285715,0.7974358974358975,0.7937062937062938,0.9818181818181818,0.9873015873015873,0.9763440860215054,3,4,11,48,79,118,0.9349221456855303,0.7875235875235876,0.9818212850470914,18,245
0.27,0.27,0.24,0.9324942791762013,0.9401451027811366,0.9330338913842384,0.7616822429906542,0.7893401015228426,0.7758913412563667,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,132,0.9348974486992894,0.7756378952566213,0.9859920247017021,14,266
0.28,0.27,0.24,0.9324942791762013,0.9401451027811366,0.9330338913842384,0.7616822429906542,0.7893401015228426,0.7758913412563667,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,132,0.9348974486992894,0.7756378952566213,0.9859920247017021,14,266
0.3,0.27,0.22,0.933179723502304,0.9401451027811366,0.931272875152501,0.7788461538461539,0.7893401015228426,0.7646076794657763,0.9818181818181818,0.9873015873015873,0.9849462365591398,3,4,7,46,83,141,0.9348879676159932,0.7775979782782576,0.9846886685596363,14,270
0.28,0.28,0.22,0.9324942791762013,0.9412832929782083,0.931272875152501,0.7616822429906542,0.7933673469387755,0.7646076794657763,0.9878787878787879,0.9873015873015873,0.9849462365591398,2,4,7,51,81,141,0.9348867025120634,0.773219089798402,0.9867088705798382,13,273
0.3,0.26,0.18,0.933179723502304,0.9397590361445785,0.9318273497377975,0.7788461538461539,0.78,0.7463651050080775,0.9818181818181818,0.9904761904761905,0.9935483870967742,3,3,3,46,88,157,0.9348830425420851,0.7684037529514104,0.9886142531303822,9,291
0.29,0.27,0.27,0.9310344827586207,0.9401451027811366,0.9364754098360656,0.7714285714285715,0.7893401015228426,0.7879310344827586,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,83,123,0.9348558541808644,0.7828999024780575,0.9839718226815002,15,254
0.29,0.29,0.24,0.9310344827586207,0.9424242424242424,0.9330338913842384,0.7714285714285715,0.7974358974358975,0.7758913412563667,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,79,132,0.9348512923834307,0.7815852700402787,0.9839718226815002,15,259
0.3,0.26,0.17,0.933179723502304,0.9397590361445785,0.9315895372233401,0.7788461538461539,0.78,0.7408,0.9818181818181818,0.9904761904761905,0.9956989247311828,3,3,2,46,88,162,0.9348354800391936,0.766548717948718,0.9893310990085183,8,296
0.3,0.27,0.23,0.933179723502304,0.9401451027811366,0.930753564154786,0.7788461538461539,0.7893401015228426,0.7680672268907563,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,83,138,0.9347841054164502,0.7787511607532509,0.9839718226815002,15,267
0.28,0.28,0.23,0.9324942791762013,0.9412832929782083,0.930753564154786,0.7616822429906542,0.7933673469387755,0.7680672268907563,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,81,138,0.9347828403125203,0.7743722722733953,0.9859920247017021,14,270
0.27,0.26,0.24,0.9324942791762013,0.9397590361445785,0.9330338913842384,0.7616822429906542,0.78,0.7758913412563667,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,132,0.9347816287083219,0.7725245280823403,0.9870502257599032,13,271
0.28,0.26,0.24,0.9324942791762013,0.9397590361445785,0.9330338913842384,0.7616822429906542,0.78,0.7758913412563667,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,132,0.9347816287083219,0.7725245280823403,0.9870502257599032,13,271
0.3,0.26,0.22,0.933179723502304,0.9397590361445785,0.931272875152501,0.7788461538461539,0.78,0.7646076794657763,0.9818181818181818,0.9904761904761905,0.9849462365591398,3,3,7,46,88,141,0.9347721476250258,0.7744846111039768,0.9857468696178374,13,275
0.29,0.28,0.25,0.9310344827586207,0.9412832929782083,0.9341782502044155,0.7714285714285715,0.7933673469387755,0.7798634812286689,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,81,129,0.9347378793136559,0.7815531331986719,0.9839718226815002,15,258
0.27,0.27,0.21,0.9324942791762013,0.9401451027811366,0.9321689683184401,0.7616822429906542,0.7893401015228426,0.7624584717607974,0.9878787878787879,0.9873015873015873,0.9870967741935484,2,4,6,51,83,143,0.9347244640861297,0.7711602720914316,0.9874257164579744,12,277
