Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
Ridge — Temporal | alpha=1000,0.0,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898,0.5479934924078091,198.89491746025487,-0.4591529845138448
Ridge — Temporal | alpha=1000,82.0,75.48806404594512,98.37776918204781,0.21477134435254175,83580228920.15292,14.900143113360267,0.07781995661605207,116.89491746025487,-71.29362175762382
Ridge — Temporal | alpha=1000,84.0,76.70609180411955,99.66699319762927,0.19405591458266302,97480436438.35164,14.921648489704353,0.07456616052060737,114.89491746025487,-72.81621550136495
Ridge — Temporal | alpha=1000,86.0,77.92919375288254,100.96218725026154,0.17297297616508,113692424232.45712,14.943153866048439,0.06995661605206074,112.89491746025487,-74.32689263129224
Ridge — Temporal | alpha=1000,88.0,79.15739417496937,102.26476918075797,0.15149523708888124,132600664332.31679,14.958620612101281,0.06643167028199566,110.89491746025487,-75.82902665756609
Ridge — Temporal | alpha=1000,90.0,80.39336329501906,103.57462169123657,0.12961998409818054,154653570322.9166,14.971523837907734,0.062093275488069415,108.89491746025487,-77.32364115296647
Ridge — Temporal | alpha=1000,92.0,81.63559017027741,104.8890590066414,0.10738829395166505,180374135242.66882,14.984108100120778,0.05775488069414317,106.89491746025487,-78.80666277306497
Ridge — Temporal | alpha=1000,94.0,82.88355721397662,106.2066041685208,0.08482268689954431,210372325321.4322,14.992710250658414,0.05341648590021692,104.89491746025487,-80.27810047101669
Ridge — Temporal | alpha=1000,96.0,84.13937415799504,107.52895822204982,0.061891489194726645,245359562565.00565,14.999874330785515,0.049078091106290675,102.89491746025487,-81.74023943417218
Ridge — Temporal | alpha=1000,98.0,85.40224392011943,108.8532028924222,0.03864315246732708,286165571733.811,15.0,0.04473969631236443,100.89491746025487,-83.18982761911373
Ridge — Temporal | alpha=1000,100.0,86.66758498405821,110.17901210792027,0.015082287619364254,333758076077.4704,15.0,0.042841648590021694,98.89491746025487,-84.62819843311506
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",0.0,46.22234602430499,61.17724019110698,0.696343933308726,1411904784.1372554,15.950480549509198,0.6057483731019523,204.07518934675454,3.9651517290403184
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",2.0,45.79633924414542,61.07335698567004,0.6973743159431085,1246641300.7209458,15.357172408226218,0.5892082429501084,202.07518934675454,2.0055107333893094
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",4.0,45.4240147559843,61.03189902222258,0.6977850346863027,1126414818.8622599,14.896174569209492,0.5745661605206074,200.07518934675454,0.05483198491584199
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",6.0,45.09524502296138,61.05210000546274,0.6975849409680241,1045569454.4889649,14.492598419533383,0.5580260303687635,198.07518934675454,-1.8843795530661527
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",8.0,44.82628929197485,61.13320536100306,0.696780913824434,999891668.4573166,14.12541578764327,0.5393167028199566,196.07518934675454,-3.811204373821735
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",10.0,44.60822985033611,61.27446401004848,0.6953780165316688,986418168.962845,13.775652855855354,0.5260303687635575,194.07518934675454,-5.724604154004021
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",12.0,44.443067613144336,61.474735204522915,0.693383492124242,1003290191.5111129,13.454442749707866,0.5067787418655098,192.07518934675454,-7.62679721990649
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",14.0,44.35054978446318,61.73345899214593,0.6907971965747703,1049647651.274287,13.161885972158094,0.48590021691973967,190.07518934675454,-9.519444995797219
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",16.0,44.33497885886568,62.04952354536369,0.6876229626082623,1125558151.565711,12.916599606013689,0.46637744034707157,188.07518934675454,-11.403163998626063
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",18.0,44.38812192014294,62.42156070736411,0.6838658259232411,1231977177.854688,12.747390738477682,0.4463123644251627,186.07518934675454,-13.279526533285024
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",20.0,44.51676115897882,62.848221019915485,0.6795294116278416,1370736874.436765,12.6379018189305,0.42462039045553146,184.07518934675454,-15.146832968043858
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",22.0,44.72254312975199,63.327737222374004,0.6746205352249137,1544561722.7275138,12.580043618081444,0.3975054229934924,182.07518934675454,-17.00453744680902
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",24.0,45.017242158899414,63.858637496995705,0.6691421100033208,1757110434.0551696,12.575931134054828,0.38015184381778744,180.07518934675454,-18.85350441228408
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",26.0,45.37259376416911,64.43950883568785,0.6630956312751943,2013044091.5180314,12.617887440041587,0.3614425162689805,178.07518934675454,-20.693916217553134
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",28.0,45.80500051975376,65.0697293171769,0.6564735354433859,2318121497.132037,12.696193505646097,0.34191973969631234,176.07518934675454,-22.528531085661836
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",30.0,46.296939776208916,65.7473424235786,0.6492815562781306,2679323229.3736496,12.785897834208239,0.3261930585683297,174.07518934675454,-24.356441669744505
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",32.0,46.843825432462666,66.46910688741343,0.6415390211359051,3105006990.475958,12.928938298686854,0.30856832971800435,172.07518934675454,-26.174235715939524
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",34.0,47.4469272990246,67.2329996352661,0.6332524886676254,3605097459.2935514,13.088776731105694,0.2933839479392625,170.07518934675454,-27.981010615624964
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",36.0,48.09623972576262,68.03702998610378,0.6244282706884356,4191314818.3312025,13.220357394028373,0.2787418655097614,168.07518934675454,-29.77555541172081
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",38.0,48.79466411701452,68.87944648975746,0.6150702332109138,4877447080.055012,13.328773830010569,0.2662689804772234,166.07518934675454,-31.560067694995478
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",40.0,49.52862079723862,69.75707473961589,0.6051985673679872,5679672476.889519,13.433242543644957,0.25352494577006507,164.07518934675454,-33.33360728777001
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",42.0,50.298855747206694,70.66781835237362,0.594822269374589,6616939425.961346,13.544483978354693,0.24078091106290672,162.07518934675454,-35.094721029892774
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",44.0,51.10742492140574,71.6086444287953,0.5839618997847765,7711412766.47832,13.67947762751548,0.22803687635574837,160.07518934675454,-36.84169879319174
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",46.0,51.95368475706445,72.57844268574932,0.5726167569752586,8988996921.205069,13.807604391896243,0.21746203904555314,158.07518934675454,-38.575336126338776
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",48.0,52.82728720560064,73.5759891835208,0.5607877759025386,10479948186.838474,13.943020814673849,0.2068872017353579,156.07518934675454,-40.296971166618825
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",50.0,53.74193476551419,74.60138815216305,0.5484602200296532,12219590569.957428,14.109227711094206,0.19414316702819956,154.07518934675454,-42.00834028234151
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",52.0,54.68305408212209,75.65038005412681,0.5356724762286978,14249151848.254826,14.272278622843395,0.18383947939262474,152.07518934675454,-43.70493897491306
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",54.0,55.64846339300155,76.72158304370248,0.5224297000634411,16616740707.201534,14.400655940321116,0.1735357917570499,150.07518934675454,-45.38737425189175
