Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,20,0.17,3062,0.10287393860222077,0.1420640104506858,0.960809928151535,0.7241379310344828,1.0,0.84,0.9972553030434356,0.9764091058349069,2627,120,0,315,0.9292035398230089
Calibrated Logistic,20,0.18,3062,0.10287393860222077,0.14075767472240366,0.9621162638798171,0.7308584686774942,1.0,0.8445040214477212,0.9972553030434356,0.9764091058349069,2631,116,0,315,0.9314015375517445
Calibrated Logistic,20,0.19,3062,0.10287393860222077,0.1394513389941215,0.9627694317439582,0.7353629976580797,0.9968253968253968,0.8463611859838275,0.9972553030434356,0.9764091058349069,2634,113,1,314,0.9306461173681091
Calibrated Logistic,20,0.2,3062,0.10287393860222077,0.1378184193337688,0.9637491835401698,0.7417061611374408,0.9936507936507937,0.8493894165535957,0.9972553030434356,0.9764091058349069,2638,109,2,313,0.9304399524375744
Calibrated Logistic,20,0.21,3062,0.10287393860222077,0.1348791639451339,0.9660352710646636,0.7554479418886199,0.9904761904761905,0.8571428571428571,0.9972553030434356,0.9764091058349069,2646,101,3,312,0.9324566646742379
Calibrated Logistic,20,0.22,3062,0.10287393860222077,0.1342259960809928,0.9666884389288047,0.7591240875912408,0.9904761904761905,0.859504132231405,0.9972553030434356,0.9764091058349069,2648,99,3,312,0.933572710951526
Calibrated Logistic,20,0.23,3062,0.10287393860222077,0.1338994121489223,0.9670150228608753,0.7609756097560976,0.9904761904761905,0.8606896551724138,0.9972553030434356,0.9764091058349069,2649,98,3,312,0.934131736526946
Calibrated Logistic,20,0.24,3062,0.10287393860222077,0.13291966035271063,0.9679947746570868,0.7665847665847666,0.9904761904761905,0.8642659279778393,0.9972553030434356,0.9764091058349069,2652,95,3,312,0.9358128374325134
Calibrated Logistic,20,0.25,3062,0.10287393860222077,0.13226649248856956,0.968647942521228,0.7703703703703704,0.9904761904761905,0.8666666666666667,0.9972553030434356,0.9764091058349069,2654,93,3,312,0.936936936936937
Calibrated Logistic,20,0.26,3062,0.10287393860222077,0.13063357282821686,0.9702808621815807,0.78,0.9904761904761905,0.8727272727272727,0.9972553030434356,0.9764091058349069,2659,88,3,312,0.9397590361445785
Calibrated Logistic,20,0.27,3062,0.10287393860222077,0.1286740692357936,0.9715871979098628,0.7893401015228426,0.9873015873015873,0.8772919605077574,0.9972553030434356,0.9764091058349069,2664,83,4,311,0.9401451027811366
Calibrated Logistic,20,0.28,3062,0.10287393860222077,0.1280209013716525,0.972240365774004,0.7933673469387755,0.9873015873015873,0.8797736916548797,0.9972553030434356,0.9764091058349069,2666,81,4,311,0.9412832929782083
Calibrated Logistic,20,0.29,3062,0.10287393860222077,0.12736773350751143,0.972893533638145,0.7974358974358975,0.9873015873015873,0.8822695035460993,0.9972553030434356,0.9764091058349069,2668,79,4,311,0.9424242424242424
Calibrated Logistic,20,0.3,3062,0.10287393860222077,0.12606139777922926,0.9735467015022861,0.8031088082901554,0.9841269841269841,0.884450784593438,0.9972553030434356,0.9764091058349069,2671,76,5,310,0.9416767922235723
