Threshold 10,Threshold 20,Threshold 30,Total asymmetric cost,Total false positives,Total false negatives,Mean recall,Mean F1
0.25,0.09999999999999999,0.09,447.0,285,14,0.9795373085695666,0.8708747318455293
0.25,0.09999999999999999,0.09999999999999999,447.0,285,14,0.9795373085695666,0.8708747318455293
0.30000000000000004,0.15,0.08,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.15,0.09,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.15,0.09999999999999999,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.2,0.08,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.2,0.09,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.2,0.09999999999999999,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.25,0.08,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.25,0.09,448.0,221,20,0.9722261012583594,0.8931814907389811
0.30000000000000004,0.25,0.09999999999999999,448.0,221,20,0.9722261012583594,0.8931814907389811
0.15,0.15,0.02,449.0,355,9,0.9892348989123182,0.8603992684733738
0.3500000000000001,0.15,0.15,449.0,173,27,0.967208180111406,0.9080194006957428
0.3500000000000001,0.2,0.15,449.0,173,27,0.967208180111406,0.9080194006957428
0.3500000000000001,0.2,0.2,449.0,173,27,0.967208180111406,0.9080194006957428
0.3500000000000001,0.25,0.15,449.0,173,27,0.967208180111406,0.9080194006957428
0.3500000000000001,0.25,0.2,449.0,173,27,0.967208180111406,0.9080194006957428
0.25,0.06999999999999999,0.06999999999999999,450.0,288,14,0.9795373085695666,0.8700600208992931
0.25,0.08,0.06999999999999999,450.0,288,14,0.9795373085695666,0.8700600208992931
0.25,0.09,0.06999999999999999,450.0,288,14,0.9795373085695666,0.8700600208992931
0.25,0.09999999999999999,0.06999999999999999,450.0,288,14,0.9795373085695666,0.8700600208992931
0.30000000000000004,0.15,0.06999999999999999,451.0,224,20,0.9722261012583594,0.8923667797927449
0.30000000000000004,0.2,0.06999999999999999,451.0,224,20,0.9722261012583594,0.8923667797927449
0.30000000000000004,0.25,0.06999999999999999,451.0,224,20,0.9722261012583594,0.8923667797927449
0.08,0.05,0.02,452.0,438,2,0.9985663082437276,0.824201386412798
0.08,0.060000000000000005,0.02,452.0,438,2,0.9985663082437276,0.824201386412798
0.08,0.06999999999999999,0.02,452.0,438,2,0.9985663082437276,0.824201386412798
0.08,0.08,0.02,452.0,438,2,0.9985663082437276,0.824201386412798
0.04,0.03,0.03,452.0,431,3,0.9978494623655915,0.812717864339199
0.06999999999999999,0.05,0.02,455.0,441,2,0.9985663082437276,0.821980779177656
0.06999999999999999,0.060000000000000005,0.02,455.0,441,2,0.9985663082437276,0.821980779177656
0.06999999999999999,0.06999999999999999,0.02,455.0,441,2,0.9985663082437276,0.821980779177656
0.3500000000000001,0.08,0.08,455.0,278,15,0.9775171065493646,0.8761718613583152
0.3500000000000001,0.09,0.08,455.0,278,15,0.9775171065493646,0.8761718613583152
0.3500000000000001,0.09,0.09,455.0,278,15,0.9775171065493646,0.8761718613583152
0.3500000000000001,0.09999999999999999,0.08,455.0,278,15,0.9775171065493646,0.8761718613583152
0.3500000000000001,0.09999999999999999,0.09,455.0,278,15,0.9775171065493646,0.8761718613583152
0.3500000000000001,0.09999999999999999,0.09999999999999999,455.0,278,15,0.9775171065493646,0.8761718613583152
0.30000000000000004,0.15,0.15,455.0,179,27,0.967208180111406,0.9025569767451148
0.30000000000000004,0.2,0.15,455.0,179,27,0.967208180111406,0.9025569767451148
0.30000000000000004,0.2,0.2,455.0,179,27,0.967208180111406,0.9025569767451148
0.30000000000000004,0.25,0.15,455.0,179,27,0.967208180111406,0.9025569767451148
0.30000000000000004,0.25,0.2,455.0,179,27,0.967208180111406,0.9025569767451148
0.060000000000000005,0.05,0.02,458.0,444,2,0.9985663082437276,0.8197943351307467
0.060000000000000005,0.060000000000000005,0.02,458.0,444,2,0.9985663082437276,0.8197943351307467
0.3500000000000001,0.06999999999999999,0.06999999999999999,458.0,281,15,0.9775171065493646,0.875357150412079
0.3500000000000001,0.08,0.06999999999999999,458.0,281,15,0.9775171065493646,0.875357150412079
0.3500000000000001,0.09,0.06999999999999999,458.0,281,15,0.9775171065493646,0.875357150412079
0.3500000000000001,0.09999999999999999,0.06999999999999999,458.0,281,15,0.9775171065493646,0.875357150412079
0.2,0.15,0.03,461.0,285,15,0.978417042933172,0.8748576301127103
0.2,0.2,0.03,461.0,285,15,0.978417042933172,0.8748576301127103
0.30000000000000004,0.08,0.08,461.0,284,15,0.9775171065493646,0.8707094374076871
0.30000000000000004,0.09,0.08,461.0,284,15,0.9775171065493646,0.8707094374076871
0.30000000000000004,0.09,0.09,461.0,284,15,0.9775171065493646,0.8707094374076871
0.30000000000000004,0.09999999999999999,0.08,461.0,284,15,0.9775171065493646,0.8707094374076871
0.30000000000000004,0.09999999999999999,0.09,461.0,284,15,0.9775171065493646,0.8707094374076871
0.30000000000000004,0.09999999999999999,0.09999999999999999,461.0,284,15,0.9775171065493646,0.8707094374076871
0.03,0.03,0.03,462.0,441,3,0.9978494623655915,0.8060435525517576
0.15,0.05,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.15,0.060000000000000005,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.15,0.06999999999999999,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.15,0.08,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.15,0.09,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.15,0.09999999999999999,0.02,462.0,418,4,0.9945259042033235,0.8379272151420798
0.2,0.15,0.05,463.0,280,16,0.9777001970550359,0.8757424529915644
0.2,0.15,0.060000000000000005,463.0,280,16,0.9777001970550359,0.8757424529915644
0.2,0.2,0.05,463.0,280,16,0.9777001970550359,0.8757424529915644
0.2,0.2,0.060000000000000005,463.0,280,16,0.9777001970550359,0.8757424529915644
